ncommit	nissue	first-c	last-c	repo
1	1	2017-05-28	2017-05-28	ACC
111	111	2016-10-01	2021-09-23	alternateheadwords
5	5	2024-01-30	2024-01-30	AMAR
34	34	2020-03-14	2021-08-26	AP90
14	14	2014-07-15	2024-05-28	ApteES
3	3	2015-01-18	2015-01-18	ArabicInSanskrit
7	7	2021-04-08	2023-06-19	avlinks
28	28	2020-04-30	2024-08-27	BEN
25	25	2016-01-02	2024-12-30	BHS
24	24	2022-05-02	2024-05-09	BOP
12	12	2021-09-14	2021-09-14	BOR
22	22	2020-04-09	2024-04-01	BUR
20	20	2020-04-12	2021-01-10	CAE
3	3	2020-04-15	2020-04-18	CCS
110	110	2014-01-14	2024-09-01	COLOGNE
1	1	2021-01-20	2021-01-20	cologne-hugo
456	456	2017-04-04	2024-01-17	cologne-stardict
675	675	2014-09-30	2021-09-01	CORRECTIONS
404	404	2018-04-17	2025-01-13	csl-apidev
368	368	2019-12-16	2025-01-21	csl-corrections
111	111	2021-09-02	2024-02-07	csl-devanagari
33	33	2018-10-23	2023-05-26	csl-doc
62	62	2018-08-08	2024-01-30	csl-homepage
61	61	2019-11-27	2023-07-14	csl-inflect
92	92	2021-08-16	2022-06-14	csl-json
5	5	2019-11-09	2023-01-04	csl-kale
64	64	2021-10-05	2023-05-14	csl-ldev
50	50	2021-10-02	2021-10-08	csl-lnum
37	37	2021-09-13	2023-12-09	csl-newsletter
1263	1263	2019-07-20	2025-01-21	csl-orig
358	358	2019-07-20	2024-12-06	csl-pywork
16	16	2015-06-02	2023-01-19	csl-santam
333	333	2018-07-02	2025-01-13	csl-websanlexicon
3	3	2019-11-08	2022-11-11	csl-westergaard
5	5	2019-11-08	2023-04-10	csl-whitroot
4	4	2014-01-17	2014-10-19	DCS
3	3	2024-01-26	2024-01-26	Frish
48	48	2015-01-04	2024-08-26	GRA
2	2	2015-04-15	2015-09-09	GreekInSanskrit
157	157	2015-11-19	2024-03-25	hwnorm1
12	12	2020-02-01	2021-05-04	hwnorm2
7	7	2021-12-03	2022-06-02	INM
4	4	2020-03-31	2020-04-18	KRM
25	25	2022-02-12	2022-02-18	literarysource
121	121	2022-09-20	2024-10-11	LRV
0	0	?	?	MCI
67	67	2020-04-17	2024-01-08	MD
38	38	2023-01-19	2023-04-03	mw-dev
5	5	2014-08-24	2016-11-19	MW72
82	82	2018-10-16	2019-11-27	MWinflect
306	306	2014-01-16	2024-12-10	MWS
123	123	2014-09-25	2024-12-06	PWG
247	247	2014-11-08	2024-12-22	PWK
13	13	2018-08-29	2020-10-20	rvlinks
2	2	2018-09-05	2018-09-05	sanskrit-fonts
38	38	2015-11-24	2021-02-03	sanskrit-lexicon.github.io
0	0	?	?	santamlegacy
21	21	2014-01-15	2024-12-11	SCH
50	50	2014-07-19	2023-10-19	SKD
2	2	2020-04-19	2020-04-19	STC
28	28	2021-01-23	2021-09-03	temp_corrections_acc
19	19	2021-01-10	2021-09-01	temp_corrections_ae
29	29	2021-01-13	2022-03-02	temp_corrections_ap90
7	7	2021-04-11	2021-08-12	temp_corrections_mw
4	4	2023-11-09	2023-11-09	test_cologne_push
108	108	2014-01-22	2024-01-04	VCP
6	6	2016-01-02	2016-01-10	VEI
35	35	2014-12-28	2020-06-21	WIL
6	6	2015-03-10	2015-03-14	Wil-YAT
