date	issue	state	title
2023-01-02	441	open	Thank you for the correction(s) to GRA dictionary
2021-02-08	440	closed	remove commas program
2020-12-19	439	open	AP / AP90 - review pending 160 entries
2020-05-31	438	open	INM Corrections and Additions
2020-05-19	437	closed	List of anti-sandhi letter combinations
2019-09-14	436	closed	SCH wrong display
2019-07-28	435	open	AP90 - aMtari--rI--kzaM
2019-07-26	434	open	AP90 - Compounds stated twice
2019-07-25	433	closed	AP90 - {#(#} - Sanskrit marking for parenthesis?
2019-07-09	432	open	Adding abbreviations
2019-07-08	431	open	Hyphen at end of line
2019-07-07	430	closed	STC Ç->Ś and ç->ś
2019-07-06	429	closed	VCP - brU and Ba mixed up.
2019-07-05	428	open	Better handling of reference to another headword
2019-07-05	427	open	vfttitA / vfttitva issue in MW
2019-02-17	426	open	AP90 - Alphabetic misordering in subheadwords
2019-02-08	425	open	Greek numeral-like-letters INM
2019-01-25	424	closed	BaNgIBIra in ACC
2019-01-20	423	closed	Feature request: A way to directly link to every dictionary entry
2019-01-20	422	closed	Abnormal indentations in PW
2019-01-16	421	open	MWE spellings with 'v' instead of 'b'
2018-09-27	420	open	Corrections to Burnouf IAST
2018-07-22	419	open	PW IAST corrections
2018-06-14	418	closed	STC capitalization of Brâhmane
2018-05-18	417	closed	STC errors in French words with diacritics
2018-05-18	416	closed	Improve MW abbreviation markup
2017-11-19	415	open	Meter in PWG
2017-11-19	414	open	Russian in PWG, a few more
2017-11-11	413	closed	Odd Github Page Build error
2017-11-10	412	closed	MW: SriNg print error for SfNg
2017-09-15	411	closed	Trial for finding errors in AE headwords
2017-09-07	410	closed	Std file for dicts vs VCP corrections
2017-09-07	409	closed	Placeholder for pending corrections
2017-09-04	408	closed	SHS vs VCP corrections
2017-09-04	407	closed	SCH vs VCP corrections
2017-09-04	406	closed	PW vs VCP corrections
2017-09-04	405	closed	PWG vs VCP corrections
2017-09-04	404	closed	PUI vs VCP corrections
2017-09-04	403	closed	MW72 vs VCP corrections
2017-09-03	402	closed	MCI vs VCP corrections
2017-09-03	401	closed	INM vs VCP corrections
2017-09-03	400	closed	GST vs VCP corrections
2017-09-03	399	closed	CCS vs VCP corrections
2017-09-03	398	closed	GRA vs VCP corrections
2017-09-03	397	closed	CCS vs VCP corrections
2017-09-03	396	closed	BOP vs VCP corrections
2017-09-03	395	closed	CAE vs VCP corrections
2017-09-03	394	closed	Std file for dicts vs PWG corrections
2017-09-03	393	closed	YAT vs PWG corrections
2017-09-03	392	closed	WIL vs PWG corrections
2017-09-03	391	closed	VCP vs PWG corrections
2017-09-03	390	closed	SHS vs PWG corrections
2017-09-03	389	closed	SCH vs PWG corrections
2017-09-03	388	closed	PW vs PWG corrections
2017-09-03	387	closed	ACC vs PWG corrections
2017-09-03	386	closed	Std file for dicts vs PW submissions
2017-09-03	385	closed	'nh' in PUI
2017-09-03	384	closed	PE vs PW corrections
2017-09-03	383	closed	GRA vs PW corrections
2017-09-03	382	closed	AP vs PW corrections
2017-09-03	381	closed	ACC vs PW submissions
2017-09-03	380	closed	Std file of dicts vs MW submissions
2017-09-03	379	closed	YAT vs MW corrections
2017-09-03	378	closed	WIL vs MW corrections
2017-09-03	377	closed	VEI vs MW corrections
2017-09-03	376	closed	VCP vs MW corrections
2017-09-03	375	closed	SKD vs MW corrections
2017-09-03	374	closed	SHS vs MW corrections
2017-09-03	373	open	PUI - liMgins
2017-09-03	372	open	PE - conversion of other languages to SLP1
2017-09-03	371	closed	PD vs MW corrections.
2017-09-03	370	open	MW72 - hiatus issue in acCa-i
2017-09-03	369	closed	MCI vs MW corrections
2017-09-03	368	closed	INM vs MW corrections
2017-09-03	367	closed	GST vs MW corrections
2017-09-03	366	closed	BUR vs MW corrections
2017-09-03	365	closed	AP90 vs MW corrections
2017-09-03	364	closed	CAE vs MW corrections
2017-09-03	363	closed	ACC vs MW corrections
2017-08-20	362	open	Etymology coding in MW
2017-07-13	361	closed	Unknown MW literary reference abbreviation
2017-06-21	360	closed	sch.xml - an abberrant entry
2017-05-30	359	open	Errors in subject description of ACC
2017-05-30	358	open	Rare MW headword error
2017-05-27	357	open	Abnormal <P> tags - ACC
2017-05-21	356	open	`,#}` in acc.txt
2017-05-19	355	open	ACC - period after headword
2017-05-12	354	closed	two small md.txt corrections
2017-05-09	353	open	MW display of <shortlong/> markup
