date	issue	state	title
2025-01-22	434	open	2024review
2025-01-22	433	open	List of Derived Data from Cologne Dictionaries
2024-09-01	432	closed	Replacing vcp_hwextra with Lbody
2024-09-01	431	closed	Replacing skd_hwextra with Lbody
2024-09-01	430	open	SHS metaline cleanup
2024-09-01	429	closed	Replacing shs_hwextra with Lbody
2024-08-31	428	closed	Replacing pwkvn_hwextra with Lbody
2024-08-31	427	closed	Replacing pw_hwextra with Lbody
2024-08-28	426	closed	Replacing lrv_hwextra with Lbody
2024-08-28	425	closed	Replacing cae_hwextra with Lbody
2024-08-28	424	closed	Replacing bur_hwextra with Lbody
2024-08-27	423	closed	Replacing ap90_hwextra with Lbody
2024-08-27	422	closed	Replacing acc_hwextra with Lbody
2024-07-03	421	open	Revise Extended Ascii study
2024-01-28	420	closed	fri_01 
2024-01-17	419	open	With or without linebreaks
2024-01-15	418	open	Show print changes in proper way
2024-01-11	417	open	A good web frontend to Cologne and Mobile apps
2024-01-05	416	closed	Update Dictionary Stats on Cologne Homepage
2023-12-23	415	closed	SIMPLE search stopped working
2023-12-10	414	closed	Learnt to upload new dictionaries to CDSL
2023-04-24	413	closed	where is file dicts.txt?
2023-04-15	412	open	Documenting downstream CDSL applications
2023-04-02	411	open	Github remote host problem and solution
2023-04-02	410	closed	Cross-book references to synsets
2023-04-02	409	open	Making a case for unique identifier for each synset / word-meaning set
2023-03-16	408	open	Discussion about changes in XML for Sanskrit koshas
2023-03-12	407	closed	A very peculiar error associated with 'accent' marking preceding a vowel
2023-03-12	406	open	Discussion about metaline for samAnArthaka dictionaries (समानार्थक कोश)
2023-03-12	405	open	Discussion about metaline for anekArthaka dictionaries (अनेकार्थक कोश)
2023-02-28	404	open	Function to Type Ryssian Cyrillic Letters
2023-02-19	403	open	One UI at one_php.html
2023-02-07	402	open	A macintosh local installation
2023-01-13	401	open	revisions per PHP 8.2
2023-01-07	400	open	Ideas for 2023
2022-12-28	399	open	Time for v03?
2022-12-11	398	closed	AP90 printed pages not landing in SIMPLE
2022-11-16	397	closed	Advanced Search Results Delayed
2022-08-11	396	closed	google fonts in cologne websites
2022-06-23	395	open	Mahabharata Ramayana reader
2022-04-27	394	open	User generated definitions / informations
2022-03-08	393	closed	error loading dictionaries
2022-02-17	392	open	Cologne standard IAST extension
2022-02-15	391	open	Request for digitized frontmatter and endmatter
