repo	date	issue	state	Andhrabharati	title
MWS	2024-12-09	182	closed	2	Standardizing ls markup in MW (BhP)
MWS	2024-11-16	181	open	1	Grassmanizing and/or groups, continued
MWS	2024-09-02	178	open	11	AB3 alternate form for mws
MWS	2024-08-11	176	closed	22	Grassmanizing and/or groups
MWS	2024-08-04	175	closed	1	Standardize group entries
MWS	2024-08-04	174	closed	4	Jumbled up order of P. Ā. (at the qualifier portion of the dhātu entries), as Ā. P.
MWS	2024-07-06	173	closed	2	DIsplay of 'rev' and 'sup' items in mw
MWS	2024-07-04	172	open	10	Different markup for 'titular abbreviations'
MWS	2024-07-04	171	closed	8	Hierarchy placement of supplement entries
MWS	2024-07-02	169	closed	7	The accent saga continues
MWS	2024-06-30	167	closed	6	Some stray errors in mw data
MWS	2024-06-29	166	closed	1	dot corrections
MWS	2024-06-16	165	closed	1	k1-k2 discrepancies
MWS	2024-06-15	164	closed	2	recoding shortlong
MWS	2024-05-16	163	open	5	Grouped entries like GRA
MWS	2024-04-02	162	open	2	'Bad' Side-effects of <ab n="> and <ls> tagging
MWS	2024-02-02	161	closed	1	सुषुप्स question
MWS	2024-01-25	160	closed	2	A strange error in display-code
MWS	2023-07-23	159	closed	3	Gram. 54 Link to Whitney Sanskrit Grammar
MWS	2023-03-16	157	closed	2	Advanced search vs. Simple search results
MWS	2023-02-05	153	closed	30	Greek text review
MWS	2023-02-02	152	closed	4	Should the <ls>Gr.</ls> link to Monier Williams's own Grammar book, instead of Whitney's Grammar?
MWS	2023-01-23	151	closed	3	Should Ramayana links in MW be pointed to the Schlegel ed. for 1st & 2nd Kandas (as in PWG)?
MWS	2023-01-07	147	open	1	Possible new markup for alternates
MWS	2022-12-22	145	closed	26	MWS accent correction, continue, phase 4
MWS	2022-12-15	144	closed	19	MW Scan review
MWS	2022-11-14	143	closed	2	Headword Stats
MWS	2022-10-21	142	closed	8	MWS accent correction, continue phase 3
MWS	2022-09-19	141	closed	23	MW accent correction
MWS	2022-09-04	140	closed	19	Accent representation in MW, PW, PWG, PWKVN
MWS	2022-08-04	139	closed	3	Investigate dcs as source for link targets.
MWS	2022-07-23	137	closed	27	Miscellaneous corrections
MWS	2022-07-08	136	closed	13	Further <ls> cleanup
MWS	2022-07-01	135	closed	63	Corrections in lsextract_mw.txt
MWS	2022-07-01	134	closed	3	RV references without the RV -- AND general<ls> cleanup
MWS	2022-06-22	133	closed	3	<bio> tagging
